country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0,3.95,7.9,7.9,7.9,7.9,7.9,7.9,11.4,11.4,11.4,11.4,11.4,6.4,6.4
Angola,21.4,26.8,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,28.6,28.6,28.6,28.6
Albania,50.7,50.7,50.7,50.7,50.7,47.1,40,40,40,43.6,43.6,47.1,47.1,53.6,53.6
United Arab Emirates,30.7,35,39.3,37.5,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,39.3,39.3,39.3
Argentina,50,50,50,53.5,57.1,57.1,57.1,57.1,57.1,50,50,50,53.6,53.6,53.6
Armenia,32.1,32.1,32.1,32.1,32.1,32.1,32.1,28.6,28.6,28.6,28.6,28.6,46.4,53.6,50
Australia,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,85.7
Austria,82.1,80.3,78.6,78.6,78.6,78.6,82.1,75,78.6,78.6,78.6,82.1,78.6,78.6,75
Azerbaijan,7.9,7.9,7.9,12.9,17.9,17.9,17.9,17.9,21.4,21.4,21.4,21.4,21.4,32.1,28.6
Burundi,32.9,32.9,32.9,32.9,32.9,32.9,25.7,22.1,22.1,4.3,7.9,4.3,4.3,0.7,0
Belgium,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,85.7,89.3,89.3,82.1,78.6
Benin,64.3,64.3,64.3,64.3,64.3,64.3,64.3,60.7,53.6,57.1,53.6,53.6,57.1,57.1,53.6
Burkina Faso,17.9,17.9,17.9,26.8,35.7,35.7,32.1,35.7,28.6,42.9,42.9,42.9,42.9,27.1,23.6
Bangladesh,50.7,50.7,50.7,52.5,54.3,54.3,54.3,54.3,50.7,50.7,50.7,50.7,50.7,60.7,60.7
Bulgaria,57.1,55.4,53.6,55.4,57.1,57.1,57.1,57.1,57.1,60.7,60.7,64.3,64.3,64.3,57.1
Bahrain,25.7,30.7,35.7,35.7,35.7,25,25,35.7,35.7,32.1,32.1,32.1,32.1,27.1,27.1
Bosnia and Herzegovina,32.9,32.9,32.9,32.9,32.9,32.9,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3
Belarus,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,39.3,35.7,35.7,28.6,28.6,20,20
Bolivia,57.1,57.1,57.1,53.5,50,50,50,50,50,53.6,53.6,46.4,46.4,39.3,35.7
Brazil,78.6,78.6,78.6,76.8,75,75,75,75,75,67.9,67.9,53.6,53.6,53.6,53.6
Bhutan,46.4,48.2,50,51.8,53.6,53.6,53.6,53.6,53.6,53.6,53.6,60.7,67.9,67.9,67.9
Botswana,78.6,76.8,75,73.2,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,67.9
Central African Republic,14.3,12.5,10.7,10.7,10.7,10.7,10.7,0,0,0,3.6,0,0,0,0
Canada,96.4,96.4,96.4,94.7,92.9,92.9,92.9,92.9,92.9,92.9,96.4,96.4,96.4,96.4,89.3
Switzerland,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,85.7
Chile,89.3,89.3,89.3,87.5,85.7,85.7,85.7,89.3,89.3,85.7,85.7,85.7,85.7,85.7,82.1
China,46.4,48.2,50,50,50,50,46.4,46.4,46.4,46.4,46.4,50,50,42.9,42.9
Cote d'Ivoire,28.6,28.6,28.6,28.6,28.6,17.9,17.9,17.9,32.1,32.1,28.6,21.4,28.6,28.6,28.6
Cameroon,32.1,37.5,42.9,42.9,42.9,42.9,42.9,35.7,35.7,35.7,32.1,28.6,28.6,25,21.4
"Congo, Dem. Rep.",3.6,5.35,7.1,8.9,10.7,10.7,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0,0
"Congo, Rep.",28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,25,25,25,25
Colombia,43.6,48.6,53.6,62.5,71.4,75,75,71.4,71.4,71.4,71.4,67.9,67.9,67.9,64.3
Comoros,32.1,27.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
Cape Verde,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,73.6,70
Costa Rica,82.1,82.1,82.1,82.1,82.1,82.1,82.1,78.6,78.6,75,71.4,71.4,75,75,67.9
Cuba,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,42.9,35.7,35.7,35.7
Cyprus,67.9,64.3,60.7,62.5,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,53.6
Czech Republic,67.9,69.7,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,64.3,67.9,67.9,60.7
Germany,85.7,85.7,85.7,82.2,78.6,82.1,82.1,75,85.7,85.7,85.7,82.1,85.7,85.7,82.1
Djibouti,14.3,14.3,14.3,14.3,14.3,17.9,17.9,17.9,25,25,21.4,17.9,17.9,12.9,12.9
Denmark,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,92.9,92.9,92.9,92.9,92.9,92.9,89.3
